:LABEL,id,ifc_type,name,numeric_value,property_name,text_value
IfcPropertySingleValue,#5615,IFCPROPERTYSINGLEVALUE,Volume,16.74164802900007,Volume,
IfcPropertySingleValue,#5643,IFCPROPERTYSINGLEVALUE,Reference,,Reference,Basic Wall:Interior - Partition (92mm Stud)
IfcPropertySingleValue,#5646,IFCPROPERTYSINGLEVALUE,Location Line,3,Location Line,
IfcPropertySingleValue,#5647,IFCPROPERTYSINGLEVALUE,InstallationDate,,InstallationDate,InstallationDate
IfcPropertySingleValue,#5648,IFCPROPERTYSINGLEVALUE,SerialNumber,,SerialNumber,SerialNumber
IfcPropertySingleValue,#5649,IFCPROPERTYSINGLEVALUE,WarrantyStartDate,,WarrantyStartDate,WarrantyStartDate
IfcPropertySingleValue,#5650,IFCPROPERTYSINGLEVALUE,BarCode,,BarCode,BarCode
IfcPropertySingleValue,#5651,IFCPROPERTYSINGLEVALUE,AssetIdentifier,,AssetIdentifier,AssetIdentifier
IfcPropertySingleValue,#5652,IFCPROPERTYSINGLEVALUE,TagNumber,,TagNumber,TagNumber
IfcPropertySingleValue,#5653,IFCPROPERTYSINGLEVALUE,Phase Created,,Phase Created,New Construction
IfcPropertySingleValue,#5654,IFCPROPERTYSINGLEVALUE,Base Constraint,,Base Constraint,Level 2
